"id_entrevista","id_candidatura","entrevistador","data_entrevista","nota","feedback"
"25","25","Ana Silva","2025-07-08","8.02","Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines."
"26","26","Bruno Costa","2025-08-12","4.58","Metodologia de ML fraca; falta de validação em resultados."
"27","27","Carla Mendes","2025-08-10","8.33","Versátil; demonstra competência tanto em backend quanto frontend."
"28","28","Diego Rocha","2024-09-24","3.05","Portfólio limitado; problemas em justificar decisões de design."
"29","29","Eduardo Lima","2024-12-03","7.94","Boa postura para estágio; entrega consistente em atividades práticas."
"30","30","Fernanda Souza","2024-12-17","3.54","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"31","31","Gabriel Pereira","2025-01-27","8.04","Sólida formação; bom fit com necessidades do time."
"32","32","Helena Castro","2025-03-24","3.90","Conceitos de engenharia de dados insuficientes para a vaga."
"33","33","Igor Ramos","2025-06-05","8.22","Domínio em frontend e usabilidade; contribuição positiva para a equipe."
"34","34","Juliana Alves","2025-07-01","3.59","Pouca experiência prática em automação; abordagem incompleta em testes."
"35","35","Luís Oliveira","2025-09-02","8.85","Experiência prática em DevOps e infraestrutura; liderança técnica."
"36","36","Marina Santos","2025-08-15","3.90","Metodologia de ML fraca; falta de validação em resultados."
"37","37","Ana Silva","2024-09-19","8.03","Versátil; demonstra competência tanto em backend quanto frontend."
"38","38","Bruno Costa","2024-11-30","3.90","Portfólio limitado; dificuldades ao justificar escolhas de design."
"39","39","Carla Mendes","2024-12-20","8.31","Boa postura para estágio; entrega consistente e vontade de aprender."
"40","40","Diego Rocha","2025-01-25","3.96","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"41","41","Eduardo Lima","2025-03-17","8.13","Ótimo conhecimento em backend; entrega técnica consistente."
"42","42","Fernanda Souza","2025-06-02","3.72","Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance."
"43","43","Gabriel Pereira","2025-07-05","8.02","Domínio em frontend e usabilidade; muito boa comunicação."
"44","44","Helena Castro","2025-08-03","3.43","Pouca experiência prática em automação; abordagens de teste não foram suficientes."
"45","45","Igor Ramos","2025-08-10","8.89","Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines."
"46","46","Juliana Alves","2024-09-28","3.34","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"47","47","Luís Oliveira","2024-11-28","8.30","Versátil; demonstra competência tanto em backend quanto frontend."
"48","48","Marina Santos","2024-12-10","3.58","Portfólio limitado; dificuldades ao justificar escolhas de design."
"49","49","Ana Silva","2025-01-24","8.16","Boa postura para estágio; rápido aprendizado e colaboração."
"50","50","Bruno Costa","2025-03-16","3.96","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"51","51","Carla Mendes","2025-06-08","8.61","Sólida formação e entregas de qualidade; boa comunicação técnica."
"52","52","Diego Rocha","2025-07-10","4.46","Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance."
"53","53","Eduardo Lima","2025-08-05","8.12","Domínio em frontend e usabilidade; entrega técnica relevante."
"54","54","Fernanda Souza","2025-08-11","3.52","Metodologia de ML fraca; falta de validação em resultados."
"55","55","Gabriel Pereira","2024-09-14","8.01","Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines."
"56","56","Helena Castro","2024-12-01","3.98","Portfólio limitado; dificuldades ao justificar escolhas de design."
"57","57","Igor Ramos","2024-12-19","8.33","Versátil; demonstra competência tanto em backend quanto frontend."
"58","58","Juliana Alves","2025-01-25","3.41","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"59","59","Luís Oliveira","2025-03-20","8.19","Boa postura para estágio; entrega consistente e atenção a detalhes."
"60","60","Marina Santos","2025-05-29","3.67","Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance."
"61","61","Ana Silva","2025-07-07","8.07","Ótimo conhecimento em backend; capacidade de entrega e testes adequados."
"62","62","Bruno Costa","2025-08-10","3.74","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"63","63","Carla Mendes","2025-08-27","8.32","Domínio em frontend e usabilidade; entrega de qualidade."
"64","64","Diego Rocha","2024-09-20","3.52","Pouca experiência prática em automação; abordagens de teste não foram suficientes."
"65","65","Eduardo Lima","2024-12-03","8.63","Experiência prática em DevOps e infraestrutura; ótima capacidade técnica."
"66","66","Fernanda Souza","2024-12-20","3.35","Metodologia de ML fraca; falta de validação em resultados."
"67","67","Gabriel Pereira","2025-01-27","8.19","Versátil; demonstra competência tanto em backend quanto frontend."
"68","68","Helena Castro","2025-03-12","3.96","Portfólio limitado; dificuldades ao justificar escolhas de design."
"69","69","Igor Ramos","2025-06-10","8.51","Boa postura para estágio; entrega consistente e vontade de aprender."
"70","70","Juliana Alves","2025-07-03","3.97","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"71","71","Luís Oliveira","2025-08-06","8.00","Sólida formação e entregas de qualidade; bom fit cultural."
"72","72","Marina Santos","2025-08-15","3.88","Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance."
"73","73","Ana Silva","2024-09-23","8.24","Domínio em frontend e usabilidade; entrega de qualidade."
"74","74","Bruno Costa","2024-11-29","3.17","Portfólio limitado; dificuldades ao justificar escolhas de design."
"75","75","Carla Mendes","2024-12-16","8.52","Experiência prática em DevOps e infraestrutura; boa execução."
"76","76","Diego Rocha","2025-01-28","3.05","Metodologia de ML fraca; falta de validação em resultados."
"77","77","Eduardo Lima","2025-03-19","8.05","Versátil; demonstra competência tanto em backend quanto frontend."
"78","78","Fernanda Souza","2025-05-25","4.82","Portfólio limitado; dificuldades ao justificar escolhas de design."
"79","79","Gabriel Pereira","2025-06-29","8.33","Boa postura para estágio; entrega consistente e atenção a detalhes."
"80","80","Helena Castro","2025-08-12","3.35","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"81","81","Igor Ramos","2025-08-15","8.79","Experiência prática em DevOps e infraestrutura; capacidade de entrega."
"82","82","Juliana Alves","2024-09-18","3.05","Conceitos de ETL pouco sólidos; mostrou dificuldade em modelagem e performance."
"83","83","Luís Oliveira","2024-12-08","8.21","Domínio em frontend e usabilidade; entrega de qualidade."
"84","84","Marina Santos","2024-12-17","3.86","Pouca experiência prática em automação; abordagens de teste não foram suficientes."
"85","85","Ana Silva","2025-01-22","8.26","Experiência prática em DevOps e infraestrutura; performance consistente."
"86","86","Bruno Costa","2025-03-18","3.05","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"87","87","Carla Mendes","2025-06-10","8.26","Versátil; demonstra competência tanto em backend quanto frontend."
"88","88","Diego Rocha","2025-07-09","3.02","Portfólio limitado; dificuldades ao justificar escolhas de design."
"89","89","Eduardo Lima","2025-08-14","8.06","Boa postura para estágio; entrega consistente e vontade de aprender."
"90","90","Fernanda Souza","2025-08-12","3.08","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"91","91","Gabriel Pereira","2024-09-21","8.30","Versátil; demonstra competência tanto em backend quanto frontend."
"92","92","Helena Castro","2024-12-04","3.10","Portfólio limitado; dificuldades ao justificar escolhas de design."
"93","93","Igor Ramos","2024-12-29","8.53","Boa postura para estágio; entrega consistente e atenção a detalhes."
"94","94","Juliana Alves","2025-01-31","3.04","Pouca experiência prática em automação; abordagens de teste não foram suficientes."
"95","95","Luís Oliveira","2025-03-16","8.05","Experiência prática em DevOps e infraestrutura; sólido entendimento de pipelines."
"96","96","Marina Santos","2025-05-30","3.50","Metodologia de ML fraca; falta de validação em resultados."
"97","97","Ana Silva","2025-07-09","8.09","Versátil; demonstra competência tanto em backend quanto frontend."
"98","98","Bruno Costa","2025-08-13","4.38","Portfólio limitado; dificuldades ao justificar escolhas de design."
"99","99","Carla Mendes","2025-08-15","8.71","Boa postura para estágio; entrega consistente e vontade de aprender."
"100","100","Diego Rocha","2024-09-24","3.19","Planejamento e comunicação inconsistentes; pouca experiência em coordenação de times."
"101","101","Ana Silva","2024-05-15","8.50","Candidato demonstrou excelente conhecimento técnico em React e Node.js. Boa comunicação e fit cultural."
"102","103","Bruno Costa","2024-06-05","9.80","Experiência sólida em gerenciamento de projetos. Apresentou cases de sucesso e demonstrou liderança. Contratação recomendada."
"103","104","Carla Mendes","2024-04-20","6.00","Conhecimento básico em SEO, mas faltou profundidade em estratégias de performance. Não avançar."
"104","105","Diego Rocha","2024-05-25","7.50","Bom conhecimento teórico em arquitetura de cloud, mas pouca experiência prática com os desafios propostos."
"105","107","Eduardo Lima","2024-06-10","9.00","Candidato sênior com vasta experiência em Machine Learning. Perfil excelente para a vaga."
"106","109","Fernanda Souza","2024-05-18","9.20","Ótimo desenvolvedor Java, resolveu o desafio técnico com eficiência. Perfil proativo."
"107","111","Gabriel Pereira","2024-06-15","8.00","Experiência relevante na área financeira. Demonstrou organização e atenção aos detalhes."
"108","113","   Helena Castro","2024-05-30","7.00","Conhecimento técnico adequado, mas a comunicação foi um pouco confusa. Avaliar na próxima fase."
"109","115","Igor Ramos","2024-06-14","9.50","Especialista em AWS com profundo conhecimento. Apresentou soluções inovadoras durante a conversa. Recomendo fortemente."
"110","116","juliana alves","2024-03-20","8.80","Portfólio criativo e alinhado com as tendências de UI/UX. Ótima habilidade de comunicação."
"111","117","Luís Oliveira","2024-05-14","5.50","Faltou experiência com metodologias ágeis em projetos de grande escala."
"112","119","Marina Santos","2024-06-20","7.80","Bom programador .NET, mas demonstrou alguma dificuldade com conceitos de arquitetura de software."
"113","121","Eduardo Lima","2024-06-04","9.70","Excelente conhecimento em todo o pipeline de dados. Experiência com Spark e Hadoop comprovada. Contratar."
"114","122","Ana Silva","2024-04-02","6.50","Candidata com bom potencial, mas ainda precisa desenvolver mais a parte analítica para a área de logística."
"115","123","Igor Ramos","2024-06-12","8.20","Sólidos conhecimentos em segurança da informação. Precisa aprofundar em pentest de aplicações mobile."
"116","125","carla mendes","2024-05-20","9.00","Especialista em Inbound Marketing com resultados comprovados. Ótimo fit com a equipe."
"117","127","Bruno Costa","2024-06-22",\N,"Candidato não compareceu à entrevista."
"118","129","Fernanda Souza","2024-05-08","7.00","Desenvolvedor Python com bom raciocínio lógico. Falta um pouco de experiência com projetos maiores."
"119","130","Diego Rocha","2024-03-25","9.60","DBA muito experiente e qualificado. Dominou todas as questões técnicas. Contratação certa."
"120","132","Gabriel Pereira","2024-05-05","8.00","Contador organizado e com bom conhecimento da legislação fiscal."
"121","133","Eduardo Lima","2024-05-24","8.50","Background acadêmico forte. Boa capacidade de aplicar modelos estatísticos em problemas de negócio."
"122","134","Bruno Costa","2024-03-01","4.00","Experiência não compatível com a senioridade da vaga de Gerente de Produto."
"123","136","Ana Silva","2024-04-18","9.10","Excelente desenvolvedor front-end. Código limpo e performático no desafio. Ótima contratação."
"124","137","Igor Ramos","2024-06-03","7.50","Bom analista de infraestrutura, mas precisa se atualizar em tecnologias de containerização."
"125","140","Fernanda Souza","2024-03-10","6.80","Conhece bem Kotlin, mas demonstrou dificuldade em conceitos de arquitetura Android (MVVM)."
"126","141","Helena Castro","2024-05-10","7.20","Técnica de laboratório competente e cuidadosa com os procedimentos."
"127","142","Luís Oliveira","2024-02-22","9.30","Scrum Master com ótima didática e habilidade para resolver conflitos. Perfeito para o time."
"128","143","Igor Ramos","2024-06-18","5.00","Candidato com experiência, mas não demonstrou interesse e engajamento durante a entrevista."
"129","145","Eduardo Lima","2024-05-28","8.80","Pesquisadora com excelente background técnico e científico. Grande potencial de contribuição."
"130","146","Ana Silva","2024-04-05","7.50","Bom desenvolvedor Rails. O código do teste poderia ser mais otimizado."
"131","147","Juliana Alves","2024-06-12","8.40","Designer com ótima visão de produto e foco no usuário. Boas ideias e argumentação."
"132","148","Diego Rocha","2024-02-08","6.00","Conhecimento em SQL Server, mas não demonstrou experiência com otimização de performance."
"133","149","Gabriel Pereira","2024-05-22","9.00","Comprador com excelente habilidade de negociação. Conseguiu demonstrar como gerou economia em experiências passadas."
"134","150","Luís Oliveira","2024-04-12","8.70","Agile Coach experiente, com boa visão estratégica sobre transformação cultural."
"135","152","Carla Mendes","2024-03-18","7.90","Boa analista de social media, criativa, mas precisa aprofundar em análise de dados e ROI."
"136","153","Fernanda Souza","2024-05-14","8.10","Desenvolvedor iOS competente. Apresentou um portfólio sólido na App Store."
"137","154","Eduardo Lima","2024-02-26","9.40","Especialista em BI que domina Power BI. Criou um dashboard impressionante no desafio técnico."
"138","156","Helena Castro","2024-05-02","8.30","Cientista de alimentos com bom conhecimento técnico sobre desenvolvimento de produtos."
"139","157","Bruno Costa","2024-05-30","7.70","Bom Product Owner, mas precisa melhorar a forma como prioriza o backlog com base em métricas."
"140","158","Ana Silva","2024-03-07","8.00","Engenheiro de software com boa visão de arquitetura. A comunicação pode ser mais clara."
"141","160","Carla Mendes","2024-06-08","9.00","Assessor de imprensa com ótima rede de contatos e comunicação assertiva."
"142","161","Igor Ramos","2024-04-20","7.60","Analista de redes com boa certificação, mas precisa de mais experiência prática com firewalls de nova geração."
"143","162","Fernanda Souza","2024-05-16","6.20","Candidato estudando Go, mas sem experiência profissional relevante para a vaga."
"144","164","Eduardo Lima","2024-06-25","8.90","Físico com uma capacidade analítica impressionante. Raciocínio rápido e profundo."
"145","165","Bruno Costa","2024-03-29","8.20","Gerente de inovação com boas ideias e conhecimento do ecossistema de startups."
"146","166","Ana Silva","2024-06-05","9.20","Engenheiro de QA muito detalhista e com ótima skill em automação. Contratar."
"147","167","Carla Mendes","2024-04-15","7.80","Boa analista de comunicação, mas precisa de mais experiência com métricas de engajamento interno."
"148","168","Diego Rocha","2024-01-25",\N,"Feedback pendente do gestor."
"149","170","Fernanda Souza","2024-03-22","7.00","Experiência específica em C++ para sistemas embarcados. Perfil de nicho."
"150","171","Helena Castro","2024-05-19","8.10","Técnico dedicado e com bom conhecimento em equipamentos eletrônicos hospitalares."
"151","172","Gabriel Pereira","2024-03-04","8.80","Estagiário com muita vontade de aprender e proativo. Inglês fluente. Ótimo potencial."
"152","173","Bruno Costa","2024-06-28","9.90","Candidato extremamente qualificado, com visão estratégica de produto e liderança inspiradora. Mover para proposta."
"153","174","Juliana Alves","2024-04-25","7.50","Boa UX Writer, mas o portfólio é focado em produtos B2C e a vaga é B2B."
"154","175","Igor Ramos","2024-05-10","7.00","Analista de suporte com boa comunicação, mas conhecimento técnico superficial para N2."
"155","177","Eduardo Lima","2024-06-18","8.60","Engenheiro químico com sólida experiência em processos. Demonstrou grande capacidade de resolução de problemas."
"156","178","Ana Silva","2024-03-14","7.20","Bom desenvolvedor Unity, mas precisa melhorar as práticas de versionamento de código."
"157","179","Carla Mendes","2024-05-27","9.10","Profissional de Relações Públicas muito articulada e com experiência em grandes eventos. Excelente."
"158","180","Diego Rocha","2024-02-21","8.80","Arquiteto de dados experiente, com visão clara sobre governança e modelagem de dados."
"159","181","Bruno Costa","2024-07-02","6.50","Experiência em CS, mas com foco excessivo em suporte reativo e pouco em proatividade e sucesso do cliente."
"160","183","Fernanda Souza","2024-05-25","8.30","Desenvolvedor Salesforce certificado e com boa experiência em projetos complexos."
"161","185","Eduardo Lima","2024-06-15","9.40","Pesquisador de alto nível, com publicações relevantes na área de genética. Contratação estratégica."
"162","186","Igor Ramos","2024-03-26","9.00","DevOps Sênior que domina CI/CD e IaC. Perfil ideal para a posição."
"163","187","Bruno Costa","2024-06-01",\N,"Entrevista com o gestor da área. Aguardando feedback."
"164","188","Juliana Alves","2024-02-10","7.00","Ilustrador talentoso, mas o estilo artístico não é totalmente compatível com a identidade visual da empresa."
"165","189","Ana Silva","2024-06-22","7.80","Candidato promissor em Rust, demonstrou paixão pela tecnologia e capacidade de aprendizado rápido."
"166","191","Eduardo Lima","2024-05-08","9.50","Engenheiro de ML com experiência prática em MLOps. Sabe como colocar modelos em produção e mantê-los. Contratar."
"167","193","Eduardo Lima","2024-07-04","9.00","Matemático com incrível capacidade de abstração e resolução de problemas complexos de otimização."
"168","194","Fernanda Souza","2024-03-19","6.50","Bom desenvolvedor WordPress, mas a vaga exige conhecimento mais aprofundado em PHP e desenvolvimento de plugins do zero."
"169","195","Bruno Costa","2024-06-06","8.40","Gerente de parcerias com boa habilidade de negociação e networking."
"170","196","Carla Mendes","2024-03-06","8.90","Jornalista com texto impecável e experiência em fact-checking, muito importante para a posição."
"171","197","Diego Rocha","2024-06-23","7.00","Conhece os conceitos de FinOps, mas não demonstrou experiência em otimização de custos em larga escala."
"172","198","Gabriel Pereira","2024-04-22","8.00","Analista de PCP com boa experiência na indústria e conhecimento em sistemas de gestão."
"173","201","Eduardo Lima","2024-04-02","9.60","Especialista em materiais com conhecimento raro e valioso para nossos projetos de P&D. Recomendo a contratação imediata."
"174","202","Bruno Costa","2024-05-21","8.70","Profissional de RH com visão moderna e foco em cultura organizacional. Bom perfil para liderança."
"175","203","Ana Silva","2024-02-19","7.90","Desenvolvedor Elixir com bom conhecimento em sistemas concorrentes e funcionais."
"176","204","Igor Ramos","2024-06-29","6.80","Bom conhecimento em monitoramento, mas pouca experiência com automação de resposta a incidentes."
"177","205","Carla Mendes","2024-05-06","8.20","Growth Hacker com mentalidade orientada a experimentos e dados. Boas ideias para alavancar o crescimento."
"178","208","Eduardo Lima","2024-03-25","9.30","Geólogo muito experiente, com capacidade de analisar grandes volumes de dados geofísicos. Ótima adição ao time."
"179","209","Bruno Costa","2024-05-12","8.50","Gerente de vendas com perfil hunter e bom relacionamento no mercado de SaaS."
"180","210","Fernanda Souza","2024-03-01","8.00","Bom desenvolvedor React Native, com portfólio de apps publicados nas duas lojas."
"181","211","Igor Ramos","2024-06-16","7.20","Conhece as ferramentas de cibersegurança, mas faltou demonstrar uma abordagem mais estratégica na resolução de incidentes."
"182","212","Carla Mendes","2024-04-10","8.10","Produtor de conteúdo criativo e com bom domínio técnico de edição de vídeo."
"183","215","Eduardo Lima","2024-03-12","9.20","Oceanógrafo com experiência em modelagem computacional complexa. Perfil raro e muito qualificado."
"184","216","Bruno Costa","2024-05-29","8.30","Consultor de negócios com boa visão analítica e capacidade de mapear e otimizar processos."
"185","217","Ana Silva","2024-02-16","7.50","Candidato entusiasmado com Kotlin Multiplatform, mas ainda com poucos projetos práticos para apresentar."
"186","218","Diego Rocha","2024-07-03","6.00","Candidato não conseguiu explicar com clareza os conceitos de governança de dados e seu papel como Data Steward."
"187","219","Juliana Alves","2024-05-02","8.60","Motion Designer com portfólio impressionante e muita criatividade. Ótimo fit técnico e cultural."
"188","222","Eduardo Lima","2024-04-05","9.80","Astrônomo com uma capacidade de análise de dados fora do comum. Pode trazer uma perspectiva única para o time de Data Science. Contratar."
"189","223","Bruno Costa","2024-05-24","9.70","Diretor de Operações com vasta experiência em escalar empresas de tecnologia. Visão estratégica e liderança comprovada."
"190","224","Gabriel Pereira","2024-02-24","8.20","Analista de controladoria muito organizado e com forte atenção aos detalhes. Bom conhecimento em finanças corporativas."
"191","225","Igor Ramos","2024-06-11","7.80","Bom conhecimento técnico em pentest, mas a comunicação do relatório de vulnerabilidades poderia ser mais clara para um público não-técnico."
"192","226","Ana Silva","2024-04-18","9.10","Arquiteto de software sênior com profundo conhecimento em microserviços. Ótima entrevista técnica."
"193","229","Eduardo Lima","2024-03-15","8.90","Cientista social com excelente capacidade de pesquisa qualitativa e análise de dados. Perfil complementar para o time."
"194","230","Bruno Costa","2024-06-02","8.50","Gerente de CX com paixão pelo cliente e boas estratégias para melhorar a experiência."
"195","231","Fernanda Souza","2024-02-09","8.00","Desenvolvedor Flutter que entregou o desafio técnico com qualidade e dentro do prazo."
"196","232","Diego Rocha","2024-06-19","6.50","Candidato conhece os conceitos de governança de dados, mas não tem experiência na implementação de ferramentas e políticas."
"197","233","Juliana Alves","2024-04-28","8.80","UX Researcher com ótima habilidade para conduzir entrevistas e extrair insights valiosos dos usuários."
"198","236","Eduardo Lima","2024-03-22","9.70","Neurocientista com um background impressionante em análise de sinais. Pode revolucionar nossa abordagem em alguns projetos. Contratar."
"199","237","Bruno Costa","2024-05-10","8.00","Consultor de implantação com boa comunicação e experiência em gestão de projetos de ERP."
"200","238","Igor Ramos","2024-03-02","8.20","SRE com boa experiência em observabilidade e cultura de blameless post-mortems."
"201","239","Igor Ramos","2024-06-26","7.00","Bom hacker ético, mas focado apenas em encontrar falhas, com pouca sugestão de como corrigi-las de forma sistêmica."
"202","240","Carla Mendes","2024-04-14","8.30","Analista de SEO técnico muito bom, identificou vários pontos de melhoria em nosso site durante a entrevista."
"203","243","Eduardo Lima","2024-03-30","9.00","Antropólogo com uma visão fascinante sobre comportamento do consumidor. Pode agregar muito ao time de produto e marketing."
"204","244","Bruno Costa","2024-05-26","8.60","Key Account Manager com excelente relacionamento interpessoal e foco em resultados."
"205","245","Ana Silva","2024-02-25","7.70","Desenvolvedor com bons conhecimentos em Solidity, mas precisa de mais experiência em projetos Web3 em produção."
"206","246","Diego Rocha","2024-06-13","5.50","Candidato usou muitos jargões, mas não conseguiu explicar de forma clara o que é um Mestre de Dados e quais seriam suas responsabilidades."
"207","247","Juliana Alves","2024-04-23","8.70","Arquiteto da Informação muito metódico e organizado. Apresentou um ótimo case de reestruturação de um portal complexo."
"208","250","Eduardo Lima","2024-03-09","9.50","Especialista em PLN com doutorado na área. Conhecimento técnico muito acima da média. Contratação recomendada."
"209","101","Bruno Costa","2024-05-22","8.80","Segunda entrevista com o gestor. Candidato aprovado. Alinhado tecnicamente e culturalmente."
"210","109","Luís Oliveira","2024-05-25","9.00","Entrevista final. O candidato demonstrou grande potencial e alinhamento com os valores da empresa. Avançar para proposta."
"211","115","Bruno Costa","2024-06-19","9.60","Entrevista com o diretor da área. Candidato aprovado com louvor. Perfil estratégico."
"212","121","Bruno Costa","2024-06-10","9.50","Entrevista de fit cultural. Candidato demonstrou ser colaborativo e ter foco em resultados. Aprovado."
"213","125","Bruno Costa","2024-05-28","9.20","Entrevista final com a diretoria de marketing. Candidata aprovada. Excelente comunicação e visão estratégica."
"214","130","Bruno Costa","2024-04-01","9.80","Entrevista com o CTO. Candidato validado tecnicamente e com grande experiência. Contratar."
"215","136","Luís Oliveira","2024-04-25","9.30","Entrevista cultural. Demonstrou ser um ótimo colega de equipe e ter paixão por desenvolvimento. Aprovado."
"216","142","Bruno Costa","2024-02-29","9.50","Entrevista com líderes de outras equipes. Ótimo feedback sobre sua capacidade de colaboração e facilitação. Contratar."
"217","149","Bruno Costa","2024-05-29","9.10","Entrevista final com o gestor da área de suprimentos. Aprovado. Habilidade de negociação confirmada."
"218","154","Bruno Costa","2024-03-04","9.50","Entrevista com o Head de Dados. Candidato demonstrou ser o especialista que procurávamos. Aprovado."
"219","160","Bruno Costa","2024-06-14","9.00","Entrevista com o Diretor de Comunicação. Aprovado. Perfil sênior e estratégico."
"220","166","Luís Oliveira","2024-06-11","9.40","Entrevista final. Candidato muito motivado e com grande atenção aos detalhes. Contratar."
"221","172","Bruno Costa","2024-03-10","9.00","Entrevista com o time. Ótima integração e proatividade. Aprovado para o estágio."
"222","179","Bruno Costa","2024-06-03","9.30","Entrevista final. Candidata demonstrou grande senioridade e fit com a cultura. Aprovada."
"223","185","Bruno Costa","2024-06-21","9.60","Entrevista com o líder de P&D. Candidato aprovado. Conhecimento técnico muito diferenciado."
"224","191","Bruno Costa","2024-05-15","9.70","Entrevista final. Candidato demonstrou ser um profissional de ponta em MLOps. Contratar."
"225","196","Bruno Costa","2024-03-13","9.00","Entrevista com a editora-chefe. Aprovada. Excelente texto e senso crítico."
"226","201","Bruno Costa","2024-04-09","9.80","Entrevista final. Candidato é uma referência na sua área. Contratação estratégica para o futuro da empresa."
"227","208","Bruno Costa","2024-04-01","9.50","Entrevista com o time de geologia. Aprovado. Grande capacidade de colaboração e ensino."
"228","215","Bruno Costa","2024-03-19","9.40","Entrevista final. Aprovado. Conhecimento profundo e paixão pela área."
"229","222","Bruno Costa","2024-04-12","9.90","Entrevista com o CEO. Candidato aprovado. Alinhamento total com a visão de longo prazo da empresa."
"230","229","Bruno Costa","2024-03-22","9.00","Entrevista com o time de produto. Aprovado. Sua visão de pesquisa social foi muito elogiada."
"231","236","Bruno Costa","2024-03-29","9.80","Entrevista final. Aprovado. Potencial para liderar projetos de alta complexidade e inovação."
"232","243","Bruno Costa","2024-04-08","9.20","Entrevista com o time de marketing. Aprovado. Sua perspectiva sobre cultura e consumo foi considerada muito valiosa."
"233","250","Bruno Costa","2024-03-15","9.70","Entrevista final. Aprovado. Um dos melhores especialistas em PLN que já entrevistamos."
"234","105","Ana Silva","2024-06-01","7.80","Segunda entrevista técnica. Demonstrou evolução, mas ainda não está no nível esperado para a vaga sênior."
"235","113","Luís Oliveira","2024-06-06","7.50","Entrevista de fit cultural. Candidato demonstrou ser um pouco individualista para a dinâmica do nosso time."
"236","119","Luís Oliveira","2024-06-27","8.00","Segunda entrevista técnica. Conseguiu resolver o novo desafio, mostrando boa capacidade de aprendizado."
"237","122","Gabriel Pereira","2024-04-09","6.00","Entrevista com o gestor. Candidata não demonstrou a proatividade necessária para a área."
"238","133","Bruno Costa","2024-05-31","8.70","Entrevista com o gestor. Gostou do perfil acadêmico, mas busca alguém com mais vivência de mercado."
