"id_experiencia","id_candidato","empresa","cargo","data_inicio","data_fim","anos_experiencia"
"30","30","Data Experts","Cientista de Dados","2018-09-10","2023-03-01","4.46"
"31","31","SoftHouse","Desenvolvedor Back-End","2019-06-15","2022-08-20","3.18"
"32","32","NextGen Software","Engenheiro de Testes","2017-03-01","2020-07-15","3.37"
"33","33","DigitalMind","Analista de Segurança","2018-12-01","2022-10-01","3.83"
"34","34","CodeWorks","Programador Full Stack","2017-11-01","2022-01-01","4.17"
"35","35","AlphaTech","Administrador de Sistemas","2019-08-15","2023-06-30","3.87"
"36","36","InfoPlus","Suporte Técnico","2018-04-01","2021-08-01","3.33"
"37","37","Tech Solutions Ltda","Desenvolvedor Júnior","2016-02-15","2019-06-30","3.37"
"38","38","Inova Corp","Analista de Dados","2017-06-01","2021-09-30","4.33"
"39","39","Global Systems","Engenheiro de Software","2018-08-10","2023-01-15","4.43"
"40","40","Smart Solutions","Analista de Suporte","2019-01-01","2022-04-01","3.25"
"41","41","WebTech Digital","Programador Front-End","2017-05-01","2020-10-01","3.42"
"42","42","Data Experts","Cientista de Dados","2016-09-01","2021-03-01","4.50"
"43","43","SoftHouse","Desenvolvedor Back-End","2018-02-15","2022-06-15","4.33"
"44","44","NextGen Software","Engenheiro de Testes","2019-06-01","2023-01-15","3.62"
"45","45","DigitalMind","Analista de Segurança","2017-09-01","2020-09-01","3.00"
"46","46","CodeWorks","Programador Full Stack","2018-11-15","2022-08-15","3.75"
"47","47","AlphaTech","Administrador de Sistemas","2016-06-01","2020-08-01","4.17"
"48","48","InfoPlus","Suporte Técnico","2017-08-15","2021-07-01","3.87"
"49","49","Tech Solutions Ltda","Desenvolvedor Júnior","2020-03-01","2023-05-15","3.21"
"50","50","Inova Corp","Analista de Dados","2018-05-10","2022-10-20","4.44"
"51","51","Global Systems","Engenheiro de Software","2017-11-01","2021-02-10","3.28"
"52","52","Smart Solutions","Analista de Suporte","2019-02-20","2022-08-15","3.48"
"53","53","WebTech Digital","Programador Front-End","2018-07-01","2021-11-30","3.42"
"54","54","Data Experts","Cientista de Dados","2017-01-15","2022-04-01","5.21"
"55","55","SoftHouse","Desenvolvedor Back-End","2019-09-01","2023-03-10","3.52"
"56","56","NextGen Software","Engenheiro de Testes","2018-02-01","2021-08-15","3.54"
"57","57","DigitalMind","Analista de Segurança","2020-01-10","2023-05-20","3.36"
"58","58","CodeWorks","Programador Full Stack","2017-08-12","2021-09-11","4.08"
"59","59","AlphaTech","Administrador de Sistemas","2018-11-01","2022-12-20","4.13"
"60","60","InfoPlus","Suporte Técnico","2019-04-15","2022-09-01","3.38"
"61","61","Tech Solutions Ltda","Desenvolvedor Júnior","2018-02-20","2021-01-31","2.94"
"62","62","Inova Corp","Analista de Dados","2020-03-15","2023-05-01","3.13"
"63","63","Global Systems","Engenheiro de Software","2018-09-10","2022-11-20","4.20"
"64","64","Smart Solutions","Analista de Suporte","2017-03-01","2020-06-01","3.25"
"65","65","WebTech Digital","Programador Front-End","2019-02-10","2022-04-25","3.21"
"66","66","Data Experts","Cientista de Dados","2018-06-01","2023-06-30","5.08"
"67","67","SoftHouse","Desenvolvedor Back-End","2020-05-01","2023-08-20","3.30"
"68","68","NextGen Software","Engenheiro de Testes","2017-09-15","2021-11-10","4.15"
"69","69","DigitalMind","Analista de Segurança","2019-04-05","2023-03-30","3.98"
"70","70","CodeWorks","Programador Full Stack","2020-01-01","2023-12-15","3.95"
"71","71","AlphaTech","Administrador de Sistemas","2018-08-10","2022-06-20","3.86"
"72","72","InfoPlus","Suporte Técnico","2019-11-01","2023-02-01","3.25"
"73","73","Tech Solutions Ltda","Desenvolvedor Júnior","2017-04-12","2020-07-15","3.26"
"74","74","Inova Corp","Analista de Dados","2019-10-20","2023-03-28","3.44"
"75","75","Global Systems","Engenheiro de Software","2017-07-01","2021-12-15","4.46"
"76","76","Smart Solutions","Analista de Suporte","2020-05-01","2023-08-01","3.25"
"77","77","WebTech Digital","Programador Front-End","2018-01-01","2021-02-01","3.08"
"78","78","Data Experts","Cientista de Dados","2019-09-10","2023-04-01","3.56"
"79","79","SoftHouse","Desenvolvedor Back-End","2020-06-15","2023-09-20","3.26"
"80","80","NextGen Software","Engenheiro de Testes","2018-03-01","2021-08-15","3.45"
"81","81","DigitalMind","Analista de Segurança","2019-12-01","2023-11-01","3.92"
"82","82","CodeWorks","Programador Full Stack","2018-11-01","2023-02-01","4.25"
"83","83","AlphaTech","Administrador de Sistemas","2020-08-15","2023-07-30","2.96"
"84","84","InfoPlus","Suporte Técnico","2019-04-01","2022-09-01","3.42"
"85","85","Tech Solutions Ltda","Desenvolvedor Júnior","2017-02-15","2020-05-30","3.29"
"86","86","Inova Corp","Analista de Dados","2018-06-01","2022-08-30","4.25"
"87","87","Global Systems","Engenheiro de Software","2019-08-10","2023-02-15","3.51"
"88","88","Smart Solutions","Analista de Suporte","2020-01-01","2023-05-01","3.33"
"89","89","WebTech Digital","Programador Front-End","2018-05-01","2021-11-01","3.50"
"90","90","Data Experts","Cientista de Dados","2017-09-01","2022-04-01","4.58"
"91","91","SoftHouse","Desenvolvedor Back-End","2019-02-15","2022-07-15","3.41"
"92","92","NextGen Software","Engenheiro de Testes","2020-06-01","2023-02-15","2.71"
"93","93","DigitalMind","Analista de Segurança","2018-09-01","2021-10-01","3.08"
"94","94","CodeWorks","Programador Full Stack","2019-11-15","2023-09-15","3.83"
"95","95","AlphaTech","Administrador de Sistemas","2017-06-01","2021-09-01","4.25"
"96","96","InfoPlus","Suporte Técnico","2018-08-15","2022-08-01","3.96"
"97","97","Tech Solutions Ltda","Desenvolvedor Júnior","2019-07-01","2022-10-15","3.29"
"98","98","Inova Corp","Analista de Dados","2017-03-20","2021-08-25","4.43"
"99","99","Global Systems","Engenheiro de Software","2018-01-10","2022-05-20","4.36"
"100","100","Smart Solutions","Analista de Suporte","2019-08-01","2023-01-15","3.46"
"101","101","Tech Solutions Ltda","Desenvolvedor Pleno","2021-02-01","2024-05-01","3.25"
"102","101","Inova Corp","Desenvolvedor Júnior","2019-01-15","2021-01-31","2.00"
"103","103","Global Systems","Gerente de Projetos Sênior","2018-03-10",\N,"6.20"
"104","103","Smart Solutions","Coordenador de Projetos","2014-01-20","2018-03-09","4.10"
"105","104","WebTech Digital","Analista de Marketing Pleno","2021-08-01","2024-04-10","2.60"
"106","105","Data Experts","Arquiteto de Dados","2019-05-01",\N,"5.00"
"107","105","SoftHouse","Analista de BI","2016-02-15","2019-04-30","3.20"
"108","106","   DigitalMind","Designer Gráfico","2020-03-01","2024-02-10","3.90"
"109","107","NextGen Software","Cientista de Dados Sênior","2020-01-01",\N,"4.50"
"110","107","CodeWorks","Cientista de Dados Pleno","2017-06-15","2019-12-31","2.50"
"111","107","AlphaTech","Estatístico","2015-01-20","2017-06-14","2.40"
"112","109","Tech Solutions Ltda","Desenvolvedor Java Pleno","2020-07-01","2024-05-10","3.80"
"113","109","inova corp","Dev Java Jr","2018-05-10","2020-06-30","2.10"
"114","110","Global Systems","Estagiário de Engenharia","2022-03-01","2024-03-01","2.00"
"115","111","Smart Solutions","Analista Financeiro","2019-06-01","2024-06-01","5.00"
"116","112","Hospital Central","Técnico em Enfermagem","2022-01-10","2024-03-20","2.20"
"117","113","WebTech Digital","Programador PHP","2021-01-01",\N,"3.40"
"118","115","Data Experts","Arquiteto de Soluções","2017-08-01",\N,"6.80"
"119","115","SoftHouse","Analista de Infraestrutura Sênior","2013-05-15","2017-07-31","4.20"
"120","116","DigitalMind","UI/UX Designer","2021-04-01","2024-03-01","2.90"
"121","117","NextGen Software","Coordenador de Projetos","2019-09-01","2024-05-01","4.60"
"122","119","CodeWorks","Desenvolvedor .NET Pleno","2022-01-15",\N,"2.50"
"123","121","AlphaTech","Engenheiro de Dados Sênior","2018-06-01",\N,"6.00"
"124","121","InfoPlus","Analista de Dados","2014-03-10","2018-05-31","4.20"
"125","122","Tech Solutions Ltda","Analista de Logística","2021-10-01","2024-03-20","2.50"
"126","123","Inova Corp","Analista de Segurança da Informação","2019-08-01",\N,"4.80"
"127","124","Construtora Segura","Técnico em Segurança do Trabalho","2021-03-01","2024-02-01","2.90"
"128","125","WebTech Digital","Especialista em Inbound Marketing","2020-06-01","2024-05-10","3.90"
"129","126","DigitalMind","Web Designer","2022-01-01","2024-03-30","2.25"
"130","127","Global Systems","Gerente de TI","2016-01-01",\N,"8.50"
"131","129","SoftHouse","desenvolvedor python","2022-08-01","2024-04-30","1.70"
"132","130","Data Experts","DBA Oracle Sênior","2010-02-01",\N,"14.10"
"133","131","Smart Solutions","Assistente de Logística","2022-06-01","2024-06-15","2.00"
"134","132","Contabilidade Certa","Contador","2021-01-15","2024-04-20","3.25"
"135","133","NextGen Software","Pesquisador (Data Science)","2018-09-01",\N,"5.70"
"136","134","CodeWorks","Product Manager","2019-03-01","2024-02-15","4.90"
"137","136","AlphaTech","Desenvolvedor Front-end Pleno","2021-05-01","2024-04-01","2.90"
"138","136","InfoPlus","Dev Front-end Jr","2019-02-01","2021-04-30","2.20"
"139","137","Tech Solutions Ltda","Analista de Infraestrutura","2019-11-01",\N,"4.50"
"140","139","Agência Criativa","Redatora","2021-08-01","2024-06-15","2.80"
"141","140","Inova Corp","Desenvolvedor Android","2022-02-01","2024-02-28","2.00"
"142","142","Global Systems","Scrum Master","2020-01-15",\N,"4.10"
"143","142","Smart Solutions","Analista de Sistemas Ágil","2017-06-10","2020-01-14","2.60"
"144","145","PharmaCorp","Pesquisadora P&D","2018-01-01",\N,"6.40"
"145","146","WebTech Digital","Desenvolvedor Ruby on Rails","2020-09-01","2024-03-20","3.50"
"146","147","DigitalMind","Product Designer","2022-02-01","2024-06-01","2.30"
"147","148","Data Experts","DBA SQL Server","2018-03-01","2024-01-30","5.80"
"148","149","Indústria Forte","Comprador Sênior","2019-01-10",\N,"5.30"
"149","150","SoftHouse","Agile Coach","2019-05-01","2024-03-30","4.80"
"150","152","NEXTGEN SOFTWARE","Social Media Manager","2021-02-01","2024-03-01","3.00"
"151","153","CodeWorks","Desenvolvedor iOS","2022-03-15",\N,"2.20"
"152","154","AlphaTech","Especialista em BI","2017-09-01",\N,"6.70"
"153","154","InfoPlus","Analista de BI Jr","2015-06-01","2017-08-31","2.20"
"154","156","Universidade Federal","Pesquisador","2019-02-01",\N,"5.20"
"155","157","Tech Solutions Ltda","Product Owner","2020-01-20","2024-05-20","4.30"
"156","158","Inova Corp","Engenheiro de Software","2021-11-01","2024-02-20","2.25"
"157","160","Comunica S/A","Assessor de Imprensa","2021-01-01",\N,"3.50"
"158","161","Global Systems","Analista de Redes Pleno","2019-08-01","2024-04-10","4.60"
"159","162","Smart Solutions","Desenvolvedor Go","2022-05-01","2024-05-01","2.00"
"160","164","Instituto de Pesquisa","Pesquisador Associado","2016-03-01",\N,"8.30"
"161","165","WebTech Digital","Gerente de Inovação","2019-09-01","2024-03-20","4.50"
"162","166","DigitalMind","Engenheiro de QA","2021-06-01",\N,"3.00"
"163","166","Data Experts","Analista de Testes","2019-01-15","2021-05-31","2.30"
"164","167","SoftHouse","Analista de Comunicação","2022-01-10","2024-04-01","2.20"
"165","168","NextGen Software","DBA","2019-01-01",\N,"5.00"
"166","170","CodeWorks","Desenvolvedor C++","2022-03-01","2024-03-10","2.00"
"167","172","Comex Global","Estagiário de Comércio Exterior","2023-01-15",\N,"1.50"
"168","173","AlphaTech","Head de Produto (CPO)","2015-06-01",\N,"9.00"
"169","173","InfoPlus","Gerente de Produto Sênior","2011-02-01","2015-05-31","4.30"
"170","174","Tech Solutions Ltda","UX Writer","2022-01-01","2024-04-20","2.30"
"171","175","Inova Corp","Analista de Suporte Técnico","2019-09-01","2024-04-30","4.60"
"172","177","Petro Indústria","Engenheiro Químico de Processos","2017-08-01",\N,"6.80"
"173","178","Game Studio","Desenvolvedor de Jogos","2022-02-01","2024-03-01","2.00"
"174","179","Global Systems","Relações Públicas","2021-06-01",\N,"3.00"
"175","180","Data Experts","Arquiteto de Dados","2016-01-15",\N,"8.10"
"176","181","Smart Solutions","Coordenador de Customer Success","2019-03-01","2024-06-30","5.30"
"177","183","WebTech Digital","Desenvolvedor Salesforce","2021-08-01",\N,"2.80"
"178","185","Laboratório Genoma","Pesquisador Sênior","2017-01-01",\N,"7.50"
"179","186","DigitalMind","Engenheiro DevOps Sênior","2019-02-01",\N,"5.40"
"180","186","SoftHouse","Analista de Sistemas Pleno","2016-06-01","2019-01-31","2.60"
"181","187","NextGen Software","Gerente de Projetos","2020-01-10","2024-05-30","4.30"
"188","188","Estúdio de Animação","Ilustrador","2021-03-01","2024-01-30","2.80"
"189","189","CodeWorks","Desenvolvedor Rust","2022-06-01","2024-06-10","2.00"
"190","191","AlphaTech","Engenheiro de Machine Learning","2019-04-01",\N,"5.10"
"191","191","InfoPlus","Cientista de Dados Jr","2017-01-15","2019-03-31","2.20"
"192","193","Tech Solutions Ltda","Pesquisador Operacional","2015-08-01",\N,"8.80"
"193","194","Inova Corp","Desenvolvedor Web","2022-01-20","2024-03-01","2.10"
"194","195","Global Systems","Gerente de Parcerias","2018-02-01",\N,"6.30"
"195","196","Jornal Verdade","Jornalista Investigativo","2021-03-01",\N,"3.20"
"196","197","Smart Solutions","Cloud FinOps Analyst","2019-09-01","2024-06-15","4.70"
"197","198","Metalúrgica Nacional","Analista de PCP","2022-01-10","2024-04-10","2.25"
"198","201","Indústria Aeroespacial","Engenheiro de Materiais Sênior","2018-03-01",\N,"6.20"
"199","202","WebTech Digital","Head de Pessoas e Cultura","2019-06-01","2024-05-10","4.90"
"200","203","DigitalMind","Desenvolvedor Elixir","2022-04-01","2024-02-01","1.80"
"201","204","Data Experts","SRE","2020-01-15","2024-06-20","4.40"
"202","205","SoftHouse","Growth Hacker","2021-09-01",\N,"2.70"
"203","208","GeoMineração","Geólogo de Exploração","2016-05-01",\N,"8.10"
"204","209","NextGen Software","Gerente de Vendas","2019-08-01","2024-05-01","4.70"
"205","210","CodeWorks","Desenvolvedor Mobile","2022-01-01","2024-02-20","2.10"
"206","211","AlphaTech","Especialista em Cibersegurança","2019-10-01",\N,"4.60"
"207","212","Produtora de Vídeo","Editor de Vídeo","2021-06-01","2024-03-30","2.80"
"208","215","Instituto Oceanográfico","Pesquisador Sênior","2017-03-01",\N,"7.20"
"209","216","Consultoria Estratégica","Consultor de Negócios","2019-07-01","2024-05-20","4.80"
"210","217","InfoPlus","Desenvolvedor Kotlin","2022-03-15","2024-02-10","1.90"
"211","218","Tech Solutions Ltda","Data Steward","2018-01-01","2024-06-30","6.50"
"212","219","Inova Corp","Motion Designer","2021-08-01",\N,"2.80"
"213","222","Observatório Nacional","Pesquisador Pós-Doutorado","2015-01-01",\N,"9.50"
"214","223","Global Systems","Diretor de Operações (COO)","2014-06-01",\N,"10.00"
"215","223","Smart Solutions","Gerente Geral","2010-02-01","2014-05-31","4.30"
"216","224","Indústria ABC","Analista de Controladoria","2021-02-01","2024-02-15","3.00"
"217","225","WebTech Digital","Pentester","2020-03-01","2024-06-01","4.25"
"218","226","DigitalMind","Arquiteto de Software","2017-05-01",\N,"7.10"
"219","226","Data Experts","Desenvolvedor Sênior","2013-01-15","2017-04-30","4.20"
"220","229","Instituto de Pesquisa Social","Cientista Social","2018-04-01",\N,"6.10"
"221","230","SoftHouse","Gerente de CX","2019-09-01","2024-05-30","4.70"
"222","231","NextGen Software","Desenvolvedor Flutter","2022-05-01","2024-01-30","1.70"
"223","232","CodeWorks","Analista de Governança de Dados","2019-10-01","2024-06-15","4.60"
"224","233","AlphaTech","UX Researcher","2021-07-01",\N,"2.90"
"225","236","Centro de Neurociência","Pesquisador Chefe","2016-02-01",\N,"8.30"
"226","237","InfoPlus","Consultor de Implantação","2019-01-10","2024-05-01","5.30"
"227","238","Tech Solutions Ltda","SRE Pleno","2021-11-01",\N,"2.50"
"228","239","Inova Corp","Ethical Hacker","2020-08-01","2024-06-15","3.80"
"229","240","WebTech Digital","Analista de SEO","2021-05-01",\N,"3.10"
"230","243","Fundação Cultural","Antropólogo Pesquisador","2017-06-01",\N,"7.00"
"231","244","Global Systems","Key Account Manager","2019-09-01","2024-05-20","4.70"
"232","245","Smart Solutions","Desenvolvedor Blockchain","2022-06-01","2024-02-20","1.70"
"233","246","Data Experts","Mestre de Dados","2018-03-01","2024-06-01","6.25"
"234","247","DigitalMind","Arquiteto da Informação","2021-01-15",\N,"3.40"
"235","250","SoftHouse","Linguista Computacional","2015-07-01",\N,"8.90"
"236","102",\N,"Atendente","2022-01-01","2023-12-31","2.00"
"237","108","Escola ABC","Estagiária","2022-06-01","2023-06-01","1.00"
"238","114","Mercado Central","Caixa","2021-01-10","2023-01-10","2.00"
"239","118",\N,\N,\N,\N,\N
"240","120","Loja de Roupas","Vendedora","2022-03-01","2024-01-01","1.80"
"241","128",\N,"Jovem Aprendiz","2022-02-01","2023-08-01","1.50"
"242","135","Clínica Médica","Recepcionista","2021-09-01","2023-05-30","1.70"
"243","138","Supermercado Preço Bom","Repositor","2020-10-01","2022-10-01","2.00"
"244","144",\N,"Trabalho informal","2023-01-01","2023-12-31","1.00"
"245","151","Escritório de Advocacia","Secretária","2022-08-01","2024-06-20","1.80"
"246","155","Escritório de Engenharia","Desenhista Técnico","2021-07-01","2023-06-30","2.00"
"247","159","Padaria do Bairro","Atendente","2023-02-01","2024-01-15","0.90"
"248","163","Oficina Mecânica","Ajudante Geral","2022-04-01","2024-01-30","1.80"
"249","169",\N,\N,\N,\N,\N
"250","176","Lanchonete","Atendente","2023-03-01","2024-01-01","0.80"
