id_experiencia,id_candidato,empresa,cargo,data_inicio,data_fim,anos_experiencia,dias_experiencia
92,92,NextGen Software,Engenheiro de Testes,2020-06-01,2023-02-15,2.71,989
93,93,DigitalMind,Analista de Segurança,2018-09-01,2021-10-01,3.08,1126
94,94,CodeWorks,Programador Full Stack,2019-11-15,2023-09-15,3.83,1400
95,95,AlphaTech,Administrador de Sistemas,2017-06-01,2021-09-01,4.25,1553
96,96,InfoPlus,Suporte Técnico,2018-08-15,2022-08-01,3.96,1447
97,97,Tech Solutions Ltda,Desenvolvedor Júnior,2019-07-01,2022-10-15,3.29,1202
98,98,Inova Corp,Analista de Dados,2017-03-20,2021-08-25,4.43,1619
99,99,Global Systems,Engenheiro de Software,2018-01-10,2022-05-20,4.36,1591
100,100,Smart Solutions,Analista de Suporte,2019-08-01,2023-01-15,3.46,1263
101,101,Tech Solutions Ltda,Desenvolvedor Pleno,2021-02-01,2024-05-01,3.25,1185
102,101,Inova Corp,Desenvolvedor Júnior,2019-01-15,2021-01-31,2.0,747
103,103,Global Systems,Gerente de Projetos Sênior,2018-03-10,2025-08-13,6.2,2713
104,103,Smart Solutions,Coordenador de Projetos,2014-01-20,2018-03-09,4.1,1509
105,104,WebTech Digital,Analista de Marketing Pleno,2021-08-01,2024-04-10,2.6,983
106,105,Data Experts,Arquiteto de Dados,2019-05-01,2025-08-13,5.0,2296
107,105,SoftHouse,Analista de BI,2016-02-15,2019-04-30,3.2,1170
108,106,   DigitalMind,Designer Gráfico,2020-03-01,2024-02-10,3.9,1441
109,107,NextGen Software,Cientista de Dados Sênior,2020-01-01,2025-08-13,4.5,2051
110,107,CodeWorks,Cientista de Dados Pleno,2017-06-15,2019-12-31,2.5,929
111,107,AlphaTech,Estatístico,2015-01-20,2017-06-14,2.4,876
112,109,Tech Solutions Ltda,Desenvolvedor Java Pleno,2020-07-01,2024-05-10,3.8,1409
113,109,inova corp,Dev Java Jr,2018-05-10,2020-06-30,2.1,782
114,110,Global Systems,Estagiário de Engenharia,2022-03-01,2024-03-01,2.0,731
115,111,Smart Solutions,Analista Financeiro,2019-06-01,2024-06-01,5.0,1827
116,112,Hospital Central,Técnico em Enfermagem,2022-01-10,2024-03-20,2.2,800
117,113,WebTech Digital,Programador PHP,2021-01-01,2025-08-13,3.4,1685
118,115,Data Experts,Arquiteto de Soluções,2017-08-01,2025-08-13,6.8,2934
119,115,SoftHouse,Analista de Infraestrutura Sênior,2013-05-15,2017-07-31,4.2,1538
120,116,DigitalMind,UI/UX Designer,2021-04-01,2024-03-01,2.9,1065
121,117,NextGen Software,Coordenador de Projetos,2019-09-01,2024-05-01,4.6,1704
122,119,CodeWorks,Desenvolvedor .NET Pleno,2022-01-15,2025-08-13,2.5,1306
123,121,AlphaTech,Engenheiro de Dados Sênior,2018-06-01,2025-08-13,6.0,2630
124,121,InfoPlus,Analista de Dados,2014-03-10,2018-05-31,4.2,1543
125,122,Tech Solutions Ltda,Analista de Logística,2021-10-01,2024-03-20,2.5,901
126,123,Inova Corp,Analista de Segurança da Informação,2019-08-01,2025-08-13,4.8,2204
127,124,Construtora Segura,Técnico em Segurança do Trabalho,2021-03-01,2024-02-01,2.9,1067
128,125,WebTech Digital,Especialista em Inbound Marketing,2020-06-01,2024-05-10,3.9,1439
129,126,DigitalMind,Web Designer,2022-01-01,2024-03-30,2.25,819
130,127,Global Systems,Gerente de TI,2016-01-01,2025-08-13,8.5,3512
131,129,SoftHouse,desenvolvedor python,2022-08-01,2024-04-30,1.7,638
132,130,Data Experts,DBA Oracle Sênior,2010-02-01,2025-08-13,14.1,5672
133,131,Smart Solutions,Assistente de Logística,2022-06-01,2024-06-15,2.0,745
134,132,Contabilidade Certa,Contador,2021-01-15,2024-04-20,3.25,1191
135,133,NextGen Software,Pesquisador (Data Science),2018-09-01,2025-08-13,5.7,2538
136,134,CodeWorks,Product Manager,2019-03-01,2024-02-15,4.9,1812
137,136,AlphaTech,Desenvolvedor Front-end Pleno,2021-05-01,2024-04-01,2.9,1066
138,136,InfoPlus,Dev Front-end Jr,2019-02-01,2021-04-30,2.2,819
139,137,Tech Solutions Ltda,Analista de Infraestrutura,2019-11-01,2025-08-13,4.5,2112
140,139,Agência Criativa,Redatora,2021-08-01,2024-06-15,2.8,1049
141,140,Inova Corp,Desenvolvedor Android,2022-02-01,2024-02-28,2.0,757
142,142,Global Systems,Scrum Master,2020-01-15,2025-08-13,4.1,2037
143,142,Smart Solutions,Analista de Sistemas Ágil,2017-06-10,2020-01-14,2.6,948
144,145,PharmaCorp,Pesquisadora P&D,2018-01-01,2025-08-13,6.4,2781
145,146,WebTech Digital,Desenvolvedor Ruby on Rails,2020-09-01,2024-03-20,3.5,1296
146,147,DigitalMind,Product Designer,2022-02-01,2024-06-01,2.3,851
147,148,Data Experts,DBA SQL Server,2018-03-01,2024-01-30,5.8,2161
148,149,Indústria Forte,Comprador Sênior,2019-01-10,2025-08-13,5.3,2407
149,150,SoftHouse,Agile Coach,2019-05-01,2024-03-30,4.8,1795
150,152,NEXTGEN SOFTWARE,Social Media Manager,2021-02-01,2024-03-01,3.0,1124
151,153,CodeWorks,Desenvolvedor iOS,2022-03-15,2025-08-13,2.2,1247
152,154,AlphaTech,Especialista em BI,2017-09-01,2025-08-13,6.7,2903
153,154,InfoPlus,Analista de BI Jr,2015-06-01,2017-08-31,2.2,822
154,156,Universidade Federal,Pesquisador,2019-02-01,2025-08-13,5.2,2385
155,157,Tech Solutions Ltda,Product Owner,2020-01-20,2024-05-20,4.3,1582
156,158,Inova Corp,Engenheiro de Software,2021-11-01,2024-02-20,2.25,841
157,160,Comunica S/A,Assessor de Imprensa,2021-01-01,2025-08-13,3.5,1685
158,161,Global Systems,Analista de Redes Pleno,2019-08-01,2024-04-10,4.6,1714
159,162,Smart Solutions,Desenvolvedor Go,2022-05-01,2024-05-01,2.0,731
160,164,Instituto de Pesquisa,Pesquisador Associado,2016-03-01,2025-08-13,8.3,3452
161,165,WebTech Digital,Gerente de Inovação,2019-09-01,2024-03-20,4.5,1662
162,166,DigitalMind,Engenheiro de QA,2021-06-01,2025-08-13,3.0,1534
163,166,Data Experts,Analista de Testes,2019-01-15,2021-05-31,2.3,867
164,167,SoftHouse,Analista de Comunicação,2022-01-10,2024-04-01,2.2,812
165,168,NextGen Software,DBA,2019-01-01,2025-08-13,5.0,2416
166,170,CodeWorks,Desenvolvedor C++,2022-03-01,2024-03-10,2.0,740
167,172,Comex Global,Estagiário de Comércio Exterior,2023-01-15,2025-08-13,1.5,941
168,173,AlphaTech,Head de Produto (CPO),2015-06-01,2025-08-13,9.0,3726
169,173,InfoPlus,Gerente de Produto Sênior,2011-02-01,2015-05-31,4.3,1580
170,174,Tech Solutions Ltda,UX Writer,2022-01-01,2024-04-20,2.3,840
171,175,Inova Corp,Analista de Suporte Técnico,2019-09-01,2024-04-30,4.6,1703
172,177,Petro Indústria,Engenheiro Químico de Processos,2017-08-01,2025-08-13,6.8,2934
173,178,Game Studio,Desenvolvedor de Jogos,2022-02-01,2024-03-01,2.0,759
174,179,Global Systems,Relações Públicas,2021-06-01,2025-08-13,3.0,1534
175,180,Data Experts,Arquiteto de Dados,2016-01-15,2025-08-13,8.1,3498
176,181,Smart Solutions,Coordenador de Customer Success,2019-03-01,2024-06-30,5.3,1948
177,183,WebTech Digital,Desenvolvedor Salesforce,2021-08-01,2025-08-13,2.8,1473
178,185,Laboratório Genoma,Pesquisador Sênior,2017-01-01,2025-08-13,7.5,3146
179,186,DigitalMind,Engenheiro DevOps Sênior,2019-02-01,2025-08-13,5.4,2385
180,186,SoftHouse,Analista de Sistemas Pleno,2016-06-01,2019-01-31,2.6,974
181,187,NextGen Software,Gerente de Projetos,2020-01-10,2024-05-30,4.3,1602
188,188,Estúdio de Animação,Ilustrador,2021-03-01,2024-01-30,2.8,1065
189,189,CodeWorks,Desenvolvedor Rust,2022-06-01,2024-06-10,2.0,740
190,191,AlphaTech,Engenheiro de Machine Learning,2019-04-01,2025-08-13,5.1,2326
191,191,InfoPlus,Cientista de Dados Jr,2017-01-15,2019-03-31,2.2,805
192,193,Tech Solutions Ltda,Pesquisador Operacional,2015-08-01,2025-08-13,8.8,3665
193,194,Inova Corp,Desenvolvedor Web,2022-01-20,2024-03-01,2.1,771
194,195,Global Systems,Gerente de Parcerias,2018-02-01,2025-08-13,6.3,2750
195,196,Jornal Verdade,Jornalista Investigativo,2021-03-01,2025-08-13,3.2,1626
196,197,Smart Solutions,Cloud FinOps Analyst,2019-09-01,2024-06-15,4.7,1749
197,198,Metalúrgica Nacional,Analista de PCP,2022-01-10,2024-04-10,2.25,821
198,201,Indústria Aeroespacial,Engenheiro de Materiais Sênior,2018-03-01,2025-08-13,6.2,2722
199,202,WebTech Digital,Head de Pessoas e Cultura,2019-06-01,2024-05-10,4.9,1805
200,203,DigitalMind,Desenvolvedor Elixir,2022-04-01,2024-02-01,1.8,671
201,204,Data Experts,SRE,2020-01-15,2024-06-20,4.4,1618
202,205,SoftHouse,Growth Hacker,2021-09-01,2025-08-13,2.7,1442
203,208,GeoMineração,Geólogo de Exploração,2016-05-01,2025-08-13,8.1,3391
204,209,NextGen Software,Gerente de Vendas,2019-08-01,2024-05-01,4.7,1735
205,210,CodeWorks,Desenvolvedor Mobile,2022-01-01,2024-02-20,2.1,780
206,211,AlphaTech,Especialista em Cibersegurança,2019-10-01,2025-08-13,4.6,2143
207,212,Produtora de Vídeo,Editor de Vídeo,2021-06-01,2024-03-30,2.8,1033
208,215,Instituto Oceanográfico,Pesquisador Sênior,2017-03-01,2025-08-13,7.2,3087
209,216,Consultoria Estratégica,Consultor de Negócios,2019-07-01,2024-05-20,4.8,1785
210,217,InfoPlus,Desenvolvedor Kotlin,2022-03-15,2024-02-10,1.9,697
211,218,Tech Solutions Ltda,Data Steward,2018-01-01,2024-06-30,6.5,2372
212,219,Inova Corp,Motion Designer,2021-08-01,2025-08-13,2.8,1473
213,222,Observatório Nacional,Pesquisador Pós-Doutorado,2015-01-01,2025-08-13,9.5,3877
214,223,Global Systems,Diretor de Operações (COO),2014-06-01,2025-08-13,10.0,4091
215,223,Smart Solutions,Gerente Geral,2010-02-01,2014-05-31,4.3,1580
216,224,Indústria ABC,Analista de Controladoria,2021-02-01,2024-02-15,3.0,1109
217,225,WebTech Digital,Pentester,2020-03-01,2024-06-01,4.25,1553
218,226,DigitalMind,Arquiteto de Software,2017-05-01,2025-08-13,7.1,3026
219,226,Data Experts,Desenvolvedor Sênior,2013-01-15,2017-04-30,4.2,1566
220,229,Instituto de Pesquisa Social,Cientista Social,2018-04-01,2025-08-13,6.1,2691
221,230,SoftHouse,Gerente de CX,2019-09-01,2024-05-30,4.7,1733
222,231,NextGen Software,Desenvolvedor Flutter,2022-05-01,2024-01-30,1.7,639
223,232,CodeWorks,Analista de Governança de Dados,2019-10-01,2024-06-15,4.6,1719
224,233,AlphaTech,UX Researcher,2021-07-01,2025-08-13,2.9,1504
225,236,Centro de Neurociência,Pesquisador Chefe,2016-02-01,2025-08-13,8.3,3481
226,237,InfoPlus,Consultor de Implantação,2019-01-10,2024-05-01,5.3,1938
227,238,Tech Solutions Ltda,SRE Pleno,2021-11-01,2025-08-13,2.5,1381
228,239,Inova Corp,Ethical Hacker,2020-08-01,2024-06-15,3.8,1414
229,240,WebTech Digital,Analista de SEO,2021-05-01,2025-08-13,3.1,1565
230,243,Fundação Cultural,Antropólogo Pesquisador,2017-06-01,2025-08-13,7.0,2995
231,244,Global Systems,Key Account Manager,2019-09-01,2024-05-20,4.7,1723
232,245,Smart Solutions,Desenvolvedor Blockchain,2022-06-01,2024-02-20,1.7,629
233,246,Data Experts,Mestre de Dados,2018-03-01,2024-06-01,6.25,2284
234,247,DigitalMind,Arquiteto da Informação,2021-01-15,2025-08-13,3.4,1671
235,250,SoftHouse,Linguista Computacional,2015-07-01,2025-08-13,8.9,3696
236,102,Não foi informada a Empresa,Atendente,2022-01-01,2023-12-31,2.0,729
237,108,Escola ABC,Estagiária,2022-06-01,2023-06-01,1.0,365
238,114,Mercado Central,Caixa,2021-01-10,2023-01-10,2.0,730
239,118,Não foi informada a Empresa,Não foi informado o cargo,2019-04-01,2025-08-13,3.5149999999999997,2326
240,120,Loja de Roupas,Vendedora,2022-03-01,2024-01-01,1.8,671
241,128,Não foi informada a Empresa,Jovem Aprendiz,2022-02-01,2023-08-01,1.5,546
242,135,Clínica Médica,Recepcionista,2021-09-01,2023-05-30,1.7,636
243,138,Supermercado Preço Bom,Repositor,2020-10-01,2022-10-01,2.0,730
244,144,Não foi informada a Empresa,Trabalho informal,2023-01-01,2023-12-31,1.0,364
245,151,Escritório de Advocacia,Secretária,2022-08-01,2024-06-20,1.8,689
246,155,Escritório de Engenharia,Desenhista Técnico,2021-07-01,2023-06-30,2.0,729
247,159,Padaria do Bairro,Atendente,2023-02-01,2024-01-15,0.9,348
248,163,Oficina Mecânica,Ajudante Geral,2022-04-01,2024-01-30,1.8,669
249,169,Não foi informada a Empresa,Não foi informado o cargo,2019-04-01,2025-08-13,3.5149999999999997,2326
250,176,Lanchonete,Atendente,2023-03-01,2024-01-01,0.8,306
