id_candidatura,id_candidato,id_vaga,data_candidatura,origem,curriculo_texto,status_cand,experiencia_media_anos,contratado,tempo_candidatura
174,174,2,2024-04-19,LinkedIn,"UX Writer com experiência em criar textos para interfaces, garantindo clareza e consistência na comunicação do produto.",recusado,4.0,0,481
175,175,9,2024-05-04,Site,"Analista de Suporte Técnico N2, com experiência em atendimento a clientes corporativos e resolução de incidentes.",entrevista,7.0,0,466
176,176,1,2024-01-11,vagas.com,Sem resumo de currículo,triagem,0.0,0,580
177,177,12,2024-06-12,Indicação,Engenheiro Químico com experiência em processos industriais e otimização de produção na indústria petroquímica.,entrevista,10.0,0,427
178,178,3,2024-03-08,LinkedIn,Desenvolvedor de Jogos com experiência na engine Unity e C#.,entrevista,4.0,0,523
179,179,5,2024-05-21,Site,Relações Públicas com foco em eventos e comunicação com stakeholders.,contratado,5.0,1,449
180,180,11,2024-02-14,Indicação,Arquiteto de Dados com experiência em modelagem de dados e definição de padrões para Data Warehouse e Data Lake.,entrevista,12.0,0,546
181,181,8,2024-06-26,LinkedIn,"Coordenador de Customer Success, focado em retenção e satisfação de clientes B2B.",recusado,8.0,0,413
182,182,6,2024-04-04,Catho,Técnico Agrícola com experiência em manejo de culturas e operação de maquinário.,triagem,3.0,0,496
183,183,3,2024-05-19,Site,Desenvolvedor Salesforce com certificação Platform Developer I. Experiência com Apex e Lightning Web Components.,entrevista,4.0,0,451
184,184,1,2024-01-29,vagas.com,Procuro vaga de recepcionista. Tenho experiência com atendimento ao público.,triagem,0.5,0,562
185,185,12,2024-06-09,Indicação,Biólogo com doutorado em genética e experiência em pesquisa laboratorial com sequenciamento de DNA.,contratado,11.0,1,430
186,186,9,2024-03-20,LinkedIn,"DevOps Sênior com experiência em automação de CI/CD com Jenkins, GitLab CI, e infraestrutura como código com Terraform.",entrevista,9.0,0,511
187,187,8,2024-05-26,Site,Sem resumo de currículo,entrevista,7.0,0,444
188,188,2,2024-02-04,Indicação,Ilustrador com experiência em criação de personagens e cenários para animação e jogos.,recusado,5.0,0,556
189,189,3,2024-06-16,LinkedIn,Desenvolvedor Rust com interesse em sistemas de baixa latência e alta performance.,entrevista,4.0,0,423
190,190,6,2024-04-23,Catho,"Técnico em Refrigeração e Climatização, com experiência em instalação e manutenção de sistemas HVAC.",triagem,2.0,0,477
191,191,11,2024-05-01,Site,Engenheiro de Machine Learning com experiência em colocar modelos em produção e monitorá-los.,contratado,9.0,1,469
192,192,1,2024-01-16,vagas.com,Busco uma oportunidade para reingressar no mercado de trabalho.,recusado,4.0,0,575
193,193,12,2024-06-28,Indicação,"Matemático com Ph.D., especialista em otimização e pesquisa operacional aplicada à logística.",entrevista,13.0,0,411
194,194,3,2024-03-12,LinkedIn,Desenvolvedor WordPress com experiência em criação de temas e plugins personalizados.,entrevista,4.0,0,519
195,195,8,2024-05-31,Site,Gerente de Parcerias Estratégicas com experiência em negociação de acordos comerciais complexos.,entrevista,10.0,0,439
196,196,5,2024-02-28,Indicação,Jornalista com experiência em redação para portais de notícias e checagem de fatos.,contratado,5.0,1,532
197,197,11,2024-06-17,LinkedIn,"Cloud FinOps Analyst, com foco em otimização de custos e governança financeira em ambientes de nuvem (AWS, Azure).",recusado,8.0,0,422
198,198,4,2024-04-16,Site,Analista de Planejamento e Controle da Produção (PCP) com experiência na indústria metalúrgica.,entrevista,4.0,0,484
199,199,6,2024-01-22,Catho,Técnico em Farmácia com experiência em atendimento em drogarias e controle de estoque de medicamentos.,triagem,3.0,0,569
200,200,1,2024-06-04,vagas.com,Estudante universitário em busca de estágio de férias.,triagem,0.0,0,435
201,201,12,2024-03-27,Indicação,"Engenheiro de Materiais com doutorado, especialista em polímeros e compósitos para a indústria aeroespacial.",contratado,10.0,1,504
202,202,8,2024-05-15,LinkedIn,Head de Pessoas e Cultura com experiência em estruturação da área de RH em startups.,entrevista,9.0,0,455
203,203,3,2024-02-12,Site,Desenvolvedor Elixir com experiência em Phoenix Framework e sistemas concorrentes.,entrevista,4.0,0,548
204,204,9,2024-06-23,Indicação,"Site Reliability Engineer (SRE) com experiência em monitoramento (Prometheus, Grafana) e automação com Ansible.",recusado,7.0,0,416
205,205,5,2024-04-29,LinkedIn,Growth Hacker com experiência em testes A/B e otimização de funil de conversão.,entrevista,5.0,0,471
206,206,6,2024-01-08,Catho,Técnico em Nutrição com experiência em cozinhas industriais e controle de qualidade de alimentos.,triagem,2.0,0,583
207,207,1,2024-06-29,vagas.com,Sem resumo de currículo,triagem,0.0,0,410
208,208,12,2024-03-18,Site,"Geólogo com doutorado, especialista em prospecção mineral e análise de dados geofísicos.",contratado,12.0,1,513
209,209,8,2024-05-06,Indicação,Gerente de Vendas com experiência em liderança de equipes comerciais no setor de software (SaaS).,entrevista,9.0,0,464
210,210,3,2024-02-23,LinkedIn,Desenvolvedor Mobile Híbrido com React Native. Experiência em publicação de apps para Android e iOS.,entrevista,4.0,0,537
211,211,9,2024-06-10,Site,Especialista em Cibersegurança com foco em resposta a incidentes e forense digital.,recusado,8.0,0,429
212,212,5,2024-04-03,Indicação,Produtor de Conteúdo Audiovisual. Experiência com gravação e edição de vídeos para YouTube e redes sociais.,entrevista,5.0,0,497
213,213,6,2024-01-24,Catho,Técnico em Logística com experiência em operações de armazém e expedição.,triagem,3.0,0,567
214,214,1,2024-06-11,vagas.com,"Portador de deficiência, buscando oportunidade no mercado de trabalho.",triagem,0.0,0,428
215,215,12,2024-03-05,Site,"Oceanógrafo com doutorado, especialista em modelagem de correntes oceânicas e impacto ambiental.",contratado,11.0,1,526
216,216,8,2024-05-23,Indicação,Consultor de Negócios com experiência em planejamento estratégico e reestruturação de processos.,entrevista,9.0,0,447
217,217,3,2024-02-09,LinkedIn,"Desenvolvedor Kotlin Multiplatform, com interesse em compartilhar código entre Android, iOS e Web.",entrevista,4.0,0,551
218,218,11,2024-06-27,Site,"Data Steward, responsável pela governança e qualidade dos dados em um grande banco.",recusado,10.0,0,412
219,219,2,2024-04-26,Indicação,Motion Designer com experiência em After Effects e Cinema 4D para criação de vinhetas e animações.,entrevista,4.0,0,474
220,220,6,2024-01-13,Catho,Técnico em Química com experiência em laboratório de controle de qualidade na indústria de cosméticos.,triagem,2.0,0,578
221,221,1,2024-06-18,vagas.com,Sem resumo de currículo,triagem,0.0,0,421
222,222,12,2024-03-30,Site,"Astrônomo com Ph.D., especialista em análise de dados de telescópios e busca por exoplanetas.",contratado,13.0,1,501
223,223,8,2024-05-17,Indicação,Diretor de Operações (COO) com experiência em escalar operações de empresas de tecnologia.,entrevista,15.0,0,453
224,224,7,2024-02-17,LinkedIn,"Analista de Controladoria com experiência em orçamento, forecast e análise de resultados.",entrevista,5.0,0,543
225,225,9,2024-06-05,Site,Pentester com certificação OSCP. Experiência em testes de invasão em aplicações web e mobile.,recusado,7.0,0,434
226,226,3,2024-04-12,Indicação,Arquiteto de Software com experiência em design de microserviços e padrões de resiliência.,entrevista,12.0,0,488
227,227,6,2024-01-28,Catho,Técnico em Meio Ambiente com experiência em licenciamento ambiental e gestão de resíduos.,triagem,3.0,0,563
228,228,1,2024-06-24,vagas.com,Sem resumo de currículo,triagem,0.0,0,415
229,229,12,2024-03-09,Site,"Cientista Social com doutorado, especialista em análise de políticas públicas e pesquisas de opinião.",contratado,10.0,1,522
230,230,8,2024-05-27,Indicação,Gerente de Customer Experience (CX) com foco em mapeamento da jornada do cliente e melhoria contínua.,entrevista,8.0,0,443
231,231,3,2024-02-02,LinkedIn,Desenvolvedor Flutter com experiência na criação de aplicativos para Android e iOS a partir de um único código-base.,entrevista,4.0,0,558
232,232,11,2024-06-13,Site,"Analista de Governança de Dados, com experiência na implementação de políticas e padrões de dados.",recusado,8.0,0,426
233,233,2,2024-04-21,Indicação,"Pesquisador de UX (UX Researcher) com experiência em condução de entrevistas, testes de usabilidade e análise de dados qualitativos.",entrevista,5.0,0,479
234,234,6,2024-01-19,Catho,Técnico em Automação Industrial com experiência em programação de CLPs e sistemas supervisórios.,triagem,2.5,0,572
235,235,1,2024-06-30,vagas.com,Estudante de ensino técnico em administração em busca de estágio.,triagem,0.0,0,409
